Genre,Year,Rating
 Drama,2013,7.1
 Drama,2014,7.1
 Drama,2015,7.1
 Drama,2016,7.1
 Drama,2017,7.1
 Drama,2018,7.1
 Drama,2019,7.1
Drama,2018,7.5
 Fantasy,2018,7.5
 Romance,2018,7.5
Comedy,2020,7.4
 Romance,2020,7.4
Animation,2020,1.8
 Short,2020,1.8
 Adventure,2020,1.8
Drama,2021,8.5
Comedy,2020,8.0
 Fantasy,2020,8.0
 Mystery,2020,8.0
Comedy,2019,6.9
 Drama,2019,6.9
 Fantasy,2019,6.9
Comedy,2018,7.7
Comedy,2019,7.7
Comedy,2020,7.7
Comedy,2021,7.7
 Reality-TV,2018,7.7
 Reality-TV,2019,7.7
 Reality-TV,2020,7.7
 Reality-TV,2021,7.7
Comedy,2019,7.5
 Drama,2019,7.5
 Mystery,2019,7.5
Drama,2021,7.4
 Romance,2021,7.4
 Thriller,2021,7.4
Drama,2019,8.2
 Thriller,2019,8.2
Comedy,2015,8.3
 Drama,2015,8.3
 Romance,2015,8.3
Comedy,2021,8.4
 Drama,2021,8.4
Comedy,2017,7.8
 Drama,2017,7.8
Animation,2004,6.4
Animation,2005,6.4
Animation,2006,6.4
Animation,2007,6.4
Animation,2008,6.4
 Short,2004,6.4
 Short,2005,6.4
 Short,2006,6.4
 Short,2007,6.4
 Short,2008,6.4
 Adventure,2004,6.4
 Adventure,2005,6.4
 Adventure,2006,6.4
 Adventure,2007,6.4
 Adventure,2008,6.4
Comedy,2021,8.5
Comedy,2022,8.5
 Drama,2021,8.5
 Drama,2022,8.5
 Music,2021,8.5
 Music,2022,8.5
Crime,2018,8.3
 Drama,2018,8.3
 Thriller,2018,8.3
Drama,2019,7.5
Music,2021,9.5
 Reality-TV,2021,9.5
Comedy,2016,8.3
Comedy,2017,8.3
 Drama,2016,8.3
 Drama,2017,8.3
 Romance,2016,8.3
 Romance,2017,8.3
Mystery,2020,7.7
 Thriller,2020,7.7
Comedy,2018,8.0
 Drama,2018,8.0
 Romance,2018,8.0
Comedy,2013,8.1
 Drama,2013,8.1
 Fantasy,2013,8.1
Drama,2014,8.6
Crime,2017,8.3
 Fantasy,2017,8.3
 Thriller,2017,8.3
Biography,2003,8.5
Biography,2004,8.5
 Drama,2003,8.5
 Drama,2004,8.5
 History,2003,8.5
 History,2004,8.5
